	id	raw_category	category	count	nyu40id	eigen13id	nyuClass	nyu40class	eigen13class	ModelNet40	ModelNet10	ShapeNetCore55	synsetoffset	wnsynsetid	wnsynsetkey	mpcat40	mpcat40index	scannetid	cocomapclass	cocomapid
48	36	dresser	dresser	213	17	6	dresser	dresser	Furniture	dresser	dresser			n03015254	chest_of_drawers.n.01	chest_of_drawers	13.0	0	otherprop	0
49	64	computer tower	computer tower	203	40	7	computer	otherprop	Objects					n03082979	computer.n.01	objects	39.0	0	otherprop	0
50	32	clothing	clothes	165	21	7	clothes	clothes	Objects					n02728440	apparel.n.01	clothes	38.0	0	otherprop	0
51	101	telephone	telephone	164	40	7	telephone	otherprop	Objects			telephone	4401088.0	n04401088	telephone.n.01	objects	39.0	0	otherprop	0
52	130	cup	cup	157	40	7	cup	otherprop	Objects	cup		cup or mug	3797390.0	n03797390	mug.n.04	objects	39.0	0	otherprop	0
53	27	refrigerator	refrigerator	154	24	6	refridgerator	refridgerator	Furniture					n04070727	refrigerator.n.01	appliances	37.0	15	refridgerator	14
54	44	end table	end table	147	7	10	table	table	Table	table	table	table	4379243.0	n04379243	table.n.02	table	5.0	7	table	7
55	131	jacket	jacket	146	40	7	jacket	otherprop	Objects					n03589791	jacket.n.01	clothes	38.0	0	otherprop	0
56	55	shower curtain	shower curtain	144	28	7	shower curtain	shower curtain	Objects	curtain				n04209239	shower_curtain.n.01	curtain	12.0	16	curtain	12
57	42	bathtub	bathtub	144	36	7	bathtub	bathtub	Objects	bathtub	bathtub	tub	2808440.0	n02808440	bathtub.n.01	bathtub	25.0	19	otherprop	0
58	59	microwave	microwave	141	40	7	microwave	otherprop	Objects			microwave	3761084.0	n03761084	microwave.n.02	appliances	37.0	0	otherprop	0
59	159	kitchen counter	kitchen counter	140	12	6	counter	counter	Furniture	table	table	table	4379243.0	n03116530	counter.n.01	counter	26.0	12	counter	11
60	74	sofa chair	sofa chair	129	5	4	chair	chair	Chair	chair	chair	chair	3001627.0	n03001627	chair.n.01	chair	3.0	5	chair	5
61	82	paper towel dispenser	paper towel dispenser	129	40	7	paper towel dispenser	otherprop	Objects							objects	39.0	0	otherprop	0
62	1164	bathroom vanity	bathroom vanity	126	3	6	cabinet	cabinet	Furniture			cabinet	2933112.0	n02933112	cabinet.n.01	table	5.0	3	cabinet	3
63	93	suitcase	suitcase	118	40	7	luggage	otherprop	Objects					n02773838	bag.n.06	objects	39.0	0	otherprop	0
64	77	laptop	laptop	111	40	7	laptop	otherprop	Objects	laptop		laptop	3642806.0	n03642806	laptop.n.01	objects	39.0	0	otherprop	0
65	67	ottoman	ottoman	111	39	6	ottoman	otherfurniture	Furniture	stool				n03380724	footstool.n.01	stool	19.0	0	otherprop	0
66	128	shower walls	shower wall	109	1	12	wall	wall	Wall					n04546855	wall.n.01	wall	1.0	1	wall	1
67	50	printer	printer	106	40	7	printer	otherprop	Objects			printer	4004475.0	n04004475	printer.n.03	appliances	37.0	0	otherprop	0
68	35	counter	counter	104	12	6	counter	counter	Furniture	table	table	table	4379243.0	n03116530	counter.n.01	counter	26.0	12	counter	11
69	69	board	board	100	38	7	board	otherstructure	Objects							board_panel	35.0	0	otherprop	0
70	100	soap dispenser	soap dispenser	99	40	7		otherprop	Objects					n04254120	soap_dispenser.n.01	objects	39.0	0	otherprop	0
71	62	stove	stove	95	38	7	stove	otherstructure	Objects			stove	4330267.0	n04330267	stove.n.02	appliances	37.0	0	otherprop	0
72	105	light	light	93	38	7	light	otherstructure	Objects					n03665366	light.n.02	lighting	28.0	0	otherprop	0
73	1165	closet wall	closet wall	90	1	12	wall	wall	Wall					n04546855	wall.n.01	wall	1.0	1	wall	1
74	165	mini fridge	mini fridge	87	24	6	refridgerator	refridgerator	Furniture					n03273913	electric_refrigerator.n.01	appliances	37.0	15	refridgerator	14
75	7	cabinets	cabinet	79	3	6	cabinet	cabinet	Furniture			cabinet	2933112.0	n02933112	cabinet.n.01	cabinet	7.0	3	cabinet	3
76	5	doors	door	76	8	12	door	door	Wall	door				n03221720	door.n.01	door	4.0	8	door	8
77	76	fan	fan	75	40	7	fan	otherprop	Objects					n03320046	fan.n.01	misc	40.0	0	otherprop	0
78	230	tissue box	tissue box	73	40	7	tissue box	otherprop	Objects					n02883344	box.n.01	objects	39.0	0	otherprop	0
79	54	blanket	blanket	72	40	7	blanket	otherprop	Objects					n02849154	blanket.n.01	objects	39.0	0	otherprop	0
80	125	bathroom stall	bathroom stall	71	38	7		otherstructure	Objects					n02873839	booth.n.02	misc	40.0	0	otherprop	0
81	72	copier	copier	70	40	7		otherprop	Objects					n03257586	duplicator.n.01	appliances	37.0	0	otherprop	0
82	68	bench	bench	66	39	6	bench	otherfurniture	Furniture	bench		bench	2828884.0	n02828884	bench.n.01	seating	34.0	0	otherprop	0
83	145	bar	bar	66	38	7	bar	otherstructure	Objects					n02788689	bar.n.03	misc	40.0	0	otherprop	0
84	157	soap dish	soap dish	65	40	7	soap dish	otherprop	Objects					n04254009	soap_dish.n.01	objects	39.0	0	otherprop	0
85	1166	laundry hamper	laundry hamper	65	40	7	laundry basket	otherprop	Objects							objects	39.0	0	otherprop	0
86	132	storage bin	storage bin	63	40	7	storage bin	otherprop	Objects							objects	39.0	0	otherprop	0
87	1167	bathroom stall door	bathroom stall door	62	8	12	door	door	Wall	door				n03221720	door.n.01	door	4.0	8	door	8
88	232	light switch	light switch	61	38	7	light switch	otherstructure	Objects					n04372370	switch.n.01	misc	40.0	0	otherprop	0
89	134	coffee maker	coffee maker	61	40	7		otherprop	Objects					n03063338	coffee_maker.n.01	appliances	37.0	0	otherprop	0
90	51	tv stand	tv stand	61	39	6	tv stand	otherfurniture	Furniture	tv_stand				n03290653	entertainment_center.n.01	furniture	36.0	0	otherprop	0
91	250	decoration	decoration	60	40	7		otherprop	Objects					n03169390	decoration.n.01	misc	40.0	0	otherprop	0
92	1168	ceiling light	ceiling light	59	38	7	light	otherstructure	Objects					n03665366	light.n.02	lighting	28.0	0	otherprop	0
93	342	range hood	range hood	59	38	7	range hood	otherstructure	Objects	range_hood				n04053677	range_hood.n.01	misc	40.0	0	otherprop	0
94	89	blackboard	blackboard	58	38	7	blackboard	otherstructure	Objects					n02846511	blackboard.n.01	board_panel	35.0	0	otherprop	0
95	103	clock	clock	58	40	7	clock	otherprop	Objects			clock	3046257.0	n03046257	clock.n.01	objects	39.0	0	otherprop	0
96	99	wardrobe closet	wardrobe	54	39	6	wardrobe	otherfurniture	Furniture	wardrobe				n04550184	wardrobe.n.01	furniture	36.0	0	otherprop	0
97	95	rail	rail	53	38	7	railing	otherstructure	Objects					n04047401	railing.n.01	railing	30.0	0	otherprop	0
98	154	bulletin board	bulletin board	53	38	7	board	otherstructure	Objects					n03211616	display_panel.n.01	board_panel	35.0	0	otherprop	0
99	140	mat	mat	52	20	5	floor mat	floor mat	Floor					n03727837	mat.n.01	floor	2.0	0	floor	2
100	1169	trash bin	trash bin	52	39	6	garbage bin	otherfurniture	Furniture			trash_bin	2747177.0	n02747177	ashcan.n.01	objects	39.0	0	otherprop	0
101	193	ledge	ledge	51	38	7		otherstructure	Objects					n09337253	ledge.n.01	misc	40.0	0	otherprop	0
102	116	seat	seat	49	39	6	furniture	otherfurniture	Furniture					n04161981	seat.n.03	furniture	36.0	0	otherprop	0
103	202	mouse	mouse	49	40	7	mouse	otherprop	Objects					n03793489	mouse.n.04	objects	39.0	0	otherprop	0
104	73	basket	basket	48	40	7	basket	otherprop	Objects			basket	2801938.0	n02801938	basket.n.01	objects	39.0	0	otherprop	0
105	78	shower	shower	48	38	7		otherstructure	Objects					n04208936	shower.n.01	shower	23.0	0	otherprop	0
106	1170	dumbbell	dumbbell	48	40	7		otherprop	Objects					n03255030	dumbbell.n.01	objects	39.0	0	otherprop	0
107	79	paper	paper	46	26	7	paper	paper	Objects					n14974264	paper.n.01	objects	39.0	0	otherprop	0
108	80	person	person	46	31	7	person	person	Objects	person				n05217688	person.n.02	misc	40.0	0	person	16
109	141	windowsill	windowsill	45	38	7		otherstructure	Objects					n04590263	windowsill.n.01	window	9.0	0	otherprop	0
110	57	closet	closet	45	39	6	wardrobe	otherfurniture	Furniture	wardrobe						misc	40.0	0	otherprop	0
111	102	bucket	bucket	45	40	7	bucket	otherprop	Objects					n02909870	bucket.n.01	misc	40.0	0	otherprop	0
112	261	sign	sign	44	40	7	sign	otherprop	Objects					n04217882	signboard.n.01	objects	39.0	0	otherprop	0
113	118	speaker	speaker	43	40	7	speaker	otherprop	Objects			speaker	3691459.0	n03691459	loudspeaker.n.01	objects	39.0	0	otherprop	0
114	136	dishwasher	dishwasher	43	38	7	dishwasher	otherstructure	Objects			dishwasher	3207941.0	n03207941	dishwasher.n.01	appliances	37.0	0	otherprop	0
115	98	container	container	43	40	7	container	otherprop	Objects					n03094503	container.n.01	objects	39.0	0	otherprop	0
116	1171	stair rail	stair rail	42	38	7	banister	otherstructure	Objects					n02788148	bannister.n.02	railing	30.0	0	otherprop	0
117	170	shower curtain rod	shower curtain rod	42	40	7		otherprop	Objects							curtain	12.0	0	otherprop	0
118	1172	tube	tube	41	40	7		otherprop	Objects							misc	40.0	0	otherprop	0
119	1173	bathroom cabinet	bathroom cabinet	39	3	6	cabinet	cabinet	Furniture			cabinet	2933112.0	n02933112	cabinet.n.01	cabinet	7.0	3	cabinet	3
120	79	papers	paper	39	26	7	paper	paper	Objects					n14974264	paper.n.01	objects	39.0	0	otherprop	0
121	221	storage container	storage container	39	40	7	container	otherprop	Objects							objects	39.0	0	otherprop	0
122	570	paper bag	paper bag	39	37	7	bag	bag	Objects					n04122825	sack.n.01	objects	39.0	0	bag	20
123	138	paper towel roll	paper towel roll	39	40	7	paper towel	otherprop	Objects					n03887697	paper_towel.n.01	towel	20.0	0	otherprop	0
124	168	ball	ball	39	40	7	ball	otherprop	Objects							objects	39.0	0	otherprop	0
125	276	closet doors	closet door	38	8	12	door	door	Wall	door				n03221720	door.n.01	door	4.0	8	door	8
126	106	laundry basket	laundry basket	37	40	7	laundry basket	otherprop	Objects			basket	2801938.0	n03050864	clothes_hamper.n.01	objects	39.0	0	otherprop	0
127	214	cart	cart	37	40	7	cart	otherprop	Objects					n03484083	handcart.n.01	shelving	31.0	0	otherprop	0
128	276	closet door	closet door	35	8	12	door	door	Wall	door				n03221720	door.n.01	door	4.0	8	door	8
129	323	dish rack	dish rack	35	40	7	dish rack	otherprop	Objects					n03207630	dish_rack.n.01	objects	39.0	0	otherprop	0
130	58	stairs	stairs	35	38	7	stairs	otherstructure	Objects					n04298308	stairway.n.01	stairs	16.0	0	otherprop	0
131	86	blinds	blinds	35	13	13	blinds	blinds	Window					n02851099	blind.n.03	blinds	32.0	0	otherprop	0
132	2	stack of chairs	chair	35	5	4	chair	chair	Chair	chair	chair	chair	3001627.0	n03001627	chair.n.01	chair	3.0	5	chair	5
133	399	purse	purse	34	40	7	purse	otherprop	Objects					n02774152	bag.n.04	objects	39.0	0	otherprop	0
134	121	bicycle	bicycle	33	40	7	bicycle	otherprop	Objects			bicycle	2834778.0	n02834778	bicycle.n.01	objects	39.0	0	otherprop	0
135	185	tray	tray	32	40	7	tray	otherprop	Objects					n04476259	tray.n.01	objects	39.0	0	otherprop	0
136	300	plunger	plunger	30	40	7		otherprop	Objects					n03970156	plunger.n.03	objects	39.0	0	otherprop	0
137	180	paper cutter	paper cutter	30	40	7	paper cutter	otherprop	Objects					n03886940	paper_cutter.n.01	objects	39.0	0	otherprop	0
138	163	toilet paper dispenser	toilet paper dispenser	29	40	7		otherprop	Objects							objects	39.0	0	otherprop	0
139	26	boxes	box	29	29	7	box	box	Objects					n02883344	box.n.01	objects	39.0	0	otherprop	0
140	66	bin	bin	28	40	7	bin	otherprop	Objects					n02839910	bin.n.01	objects	39.0	0	otherprop	0
141	208	toilet seat cover dispenser	toilet seat cover dispenser	28	40	7		otherprop	Objects							objects	39.0	0	otherprop	0
142	112	guitar	guitar	28	40	7	guitar	otherprop	Objects	guitar		guitar	3467517.0	n03467517	guitar.n.01	objects	39.0	0	otherprop	0
143	540	mailboxes	mailbox	28	29	7	box	box	Objects			mailbox	3710193.0	n03710193	mailbox.n.01	misc	40.0	0	otherprop	0
144	395	handicap bar	handicap bar	27	38	7	bar	otherstructure	Objects							misc	40.0	0	otherprop	0
145	166	fire extinguisher	fire extinguisher	27	40	7	fire extinguisher	otherprop	Objects					n03345837	fire_extinguisher.n.01	misc	40.0	0	otherprop	0
146	122	ladder	ladder	27	39	6	ladder	otherfurniture	Furniture	stairs				n03632277	ladder.n.01	stairs	16.0	0	otherprop	0
147	120	column	column	26	38	7	column	otherstructure	Objects					n03074380	column.n.06	column	24.0	0	otherprop	0
148	107	pipe	pipe	25	40	7	pipe	otherprop	Objects					n03944672	pipe.n.02	misc	40.0	0	otherprop	0
149	283	vacuum cleaner	vacuum cleaner	25	40	7		otherprop	Objects					n04517823	vacuum.n.04	objects	39.0	0	otherprop	0
150	88	plate	plate	24	40	7	plate	otherprop	Objects					n03959485	plate.n.04	objects	39.0	0	otherprop	0
151	90	piano	piano	24	39	6	piano	otherfurniture	Furniture	piano		piano	3928116.0	n03928116	piano.n.01	furniture	36.0	0	otherprop	0
152	177	water cooler	water cooler	24	39	6	water cooler	otherfurniture	Furniture					n04559166	water_cooler.n.01	misc	40.0	0	otherprop	0
153	1174	cd case	cd case	24	40	7		otherprop	Objects							objects	39.0	0	otherprop	0
154	562	bowl	bowl	24	40	7	bowl	otherprop	Objects	bowl		bowl	2880940.0	n02880940	bowl.n.03	objects	39.0	0	otherprop	0
155	1175	closet rod	closet rod	24	40	7		otherprop	Objects					n04100174	rod.n.01	misc	40.0	0	otherprop	0
156	1156	bathroom counter	bathroom counter	24	12	6	counter	counter	Furniture	table	table	table	4379243.0	n03116530	counter.n.01	counter	26.0	12	counter	11
157	84	oven	oven	23	38	7	oven	otherstructure	Objects					n03862676	oven.n.01	appliances	37.0	0	otherprop	0
158	104	stand	stand	23	39	6	stand	otherfurniture	Furniture	table	table	table	4379243.0	n04301000	stand.n.04	table	5.0	0	otherprop	0
159	229	scale	scale	23	40	7	scale	otherprop	Objects					n04141975	scale.n.07	objects	39.0	0	otherprop	0
160	70	washing machine	washing machine	23	39	6	washing machine	otherfurniture	Furniture			washing_machine	4554684.0	n04554684	washer.n.03	appliances	37.0	0	otherprop	0
161	325	broom	broom	22	40	7	broom	otherprop	Objects					n02906734	broom.n.01	objects	39.0	0	otherprop	0
162	169	hat	hat	22	40	7	hat	otherprop	Objects					n03497657	hat.n.01	clothes	38.0	0	otherprop	0
163	128	shower wall	shower wall	22	1	12	wall	wall	Wall					n04208936	shower.n.01	wall	1.0	1	wall	1
164	331	guitar case	guitar case	21	40	7	guitar case	otherprop	Objects							objects	39.0	0	otherprop	0
165	87	rack	rack	21	39	6	stand	otherfurniture	Furniture					n04038440	rack.n.05	shelving	31.0	0	otherprop	0
166	488	water pitcher	water pitcher	21	40	7	pitcher	otherprop	Objects					n03950228	pitcher.n.02	objects	39.0	0	otherprop	0
167	776	laundry detergent	laundry detergent	21	40	7		otherprop	Objects							objects	39.0	0	otherprop	0
168	370	hair dryer	hair dryer	21	40	7	hair dryer	otherprop	Objects					n03483316	hand_blower.n.01	objects	39.0	0	otherprop	0
169	191	pillar	pillar	21	38	7	column	otherstructure	Objects					n03073977	column.n.07	column	24.0	0	otherprop	0
170	748	divider	divider	20	40	7		otherprop	Objects							wall	1.0	0	otherprop	0
171	242	power outlet	power outlet	19	40	7		otherprop	Objects							misc	40.0	0	otherprop	0
172	45	dining table	dining table	19	7	10	table	table	Table	table	table	table	4379243.0	n04379243	table.n.02	table	5.0	7	table	7
173	417	shower floor	shower floor	19	2	5	floor	floor	Floor					n04208936	shower.n.01	floor	2.0	2	floor	2
174	70	washing machines	washing machine	19	39	6	washing machine	otherfurniture	Furniture			washing_machine	4554684.0	n04554684	washer.n.03	appliances	37.0	0	otherprop	0
175	188	shower door	shower door	19	8	12	door	door	Wall	door				n04208936	shower.n.01	door	4.0	8	door	8
176	1176	coffee kettle	coffee kettle	18	40	7	pot	otherprop	Objects					n03612814	kettle.n.01	objects	39.0	0	otherprop	0
177	1177	wardrobe cabinet	wardrobe	18	39	6	wardrobe	otherfurniture	Furniture	wardrobe				n04550184	wardrobe.n.01	furniture	36.0	0	otherprop	0
178	1178	structure	structure	18	38	7		otherstructure	Objects							misc	40.0	0	otherprop	0
179	18	bookshelves	bookshelf	17	10	6	bookshelf	bookshelf	Furniture	bookshelf		bookshelf	2871439.0	n02871439	bookshelf.n.01	shelving	31.0	10	shelves	10
180	110	clothes dryer	clothes dryer	17	39	6		otherfurniture	Furniture					n03251766	dryer.n.01	appliances	37.0	0	otherprop	0
181	148	toaster	toaster	17	40	7	toaster	otherprop	Objects					n04442312	toaster.n.02	appliances	37.0	0	otherprop	0
182	63	shoe	shoe	17	40	7	shoe	otherprop	Objects					n04199027	shoe.n.01	clothes	38.0	0	otherprop	0
183	155	ironing board	ironing board	16	39	6	ironing board	otherfurniture	Furniture					n03586090	ironing_board.n.01	objects	39.0	0	otherprop	0
184	572	alarm clock	alarm clock	16	40	7	alarm clock	otherprop	Objects			clock	3046257.0	n02694662	alarm_clock.n.01	objects	39.0	0	otherprop	0
185	1179	shower head	shower head	15	38	7		otherstructure	Objects							shower	23.0	0	otherprop	0
186	28	lamp base	lamp	15	35	7	lamp	lamp	Objects	lamp		lamp	3636649.0	n03636649	lamp.n.02	lighting	28.0	0	lamp	19
187	392	water bottle	water bottle	15	40	7	bottle	otherprop	Objects	bottle		bottle	2876657.0	n04557648	water_bottle.n.01	objects	39.0	0	otherprop	0
188	1180	keyboard piano	keyboard piano	15	39	6	piano	otherfurniture	Furniture	piano		piano	3928116.0	n03928116	piano.n.01	furniture	36.0	0	otherprop	0
189	609	projector screen	projector screen	15	38	7	projector screen	otherstructure	Objects							misc	40.0	0	otherprop	0
190	1181	case of water bottles	case of water bottles	15	40	7		otherprop	Objects							objects	39.0	0	otherprop	0
191	195	toaster oven	toaster oven	14	40	7	toaster oven	otherprop	Objects					n04442441	toaster_oven.n.01	appliances	37.0	0	otherprop	0
192	581	music stand	music stand	14	39	6	music stand	otherfurniture	Furniture					n03801760	music_stand.n.01	furniture	36.0	0	otherprop	0
193	58	staircase	stairs	14	38	7	stairs	otherstructure	Objects					n04298308	stairway.n.01	stairs	16.0	0	otherprop	0
194	1182	coat rack	coat rack	14	40	7		otherprop	Objects					n03059103	coatrack.n.01	shelving	3.0	0	otherprop	0
195	1183	storage organizer	storage organizer	14	40	7		otherprop	Objects							shelving	3.0	0	otherprop	0
196	139	machine	machine	14	40	7	machine	otherprop	Objects					n03699975	machine.n.01	appliances	37.0	0	otherprop	0
197	1184	folded chair	folded chair	14	5	4	chair	chair	Chair	chair	chair	chair	3001627.0	n03001627	chair.n.01	chair	3.0	5	chair	5
198	1185	fire alarm	fire alarm	14	40	7		otherprop	Objects					n03343737	fire_alarm.n.02	misc	40.0	0	otherprop	0
199	156	fireplace	fireplace	13	38	7	fireplace	otherstructure	Objects					n03346455	fireplace.n.01	fireplace	27.0	0	otherprop	0
200	408	vent	vent	13	40	7		otherprop	Objects					n04526241	vent.n.01	misc	40.0	0	otherprop	0
201	213	furniture	furniture	13	39	6	furniture	otherfurniture	Furniture					n03405725	furniture.n.01	furniture	36.0	0	otherprop	0
202	1186	power strip	power strip	13	40	7		otherprop	Objects							objects	39.0	0	otherprop	0
203	1187	calendar	calendar	13	40	7		otherprop	Objects							objects	39.0	0	otherprop	0
204	1188	poster	poster	13	11	8	picture	picture	Picture					n03931044	picture.n.01	picture	6.0	11	otherprop	0
205	115	toilet paper holder	toilet paper holder	13	40	7	toilet paper holder	otherprop	Objects							objects	39.0	0	otherprop	0
206	1189	potted plant	potted plant	12	40	7	plant	otherprop	Objects	plant				n00017222	plant.n.02	plant	14.0	0	otherprop	0
207	304	stuffed animal	stuffed animal	12	40	7	stuffed animal	otherprop	Objects					n04399382	teddy.n.01	objects	39.0	0	otherprop	0
208	1190	luggage	luggage	12	40	7	luggage	otherprop	Objects					n02774630	baggage.n.01	objects	39.0	0	otherprop	0
209	21	curtains	curtain	12	16	13	curtain	curtain	Window	curtain				n03151077	curtain.n.01	curtain	12.0	14	curtain	12
210	312	headphones	headphones	12	40	7		otherprop	Objects					n03261776	earphone.n.01	objects	39.0	0	otherprop	0
211	233	crate	crate	12	39	6	crate	otherfurniture	Furniture					n03127925	crate.n.01	objects	39.0	0	otherprop	0
212	286	candle	candle	12	40	7	candle	otherprop	Objects	lamp				n02948072	candle.n.01	objects	39.0	0	otherprop	0
213	264	projector	projector	12	40	7	projector	otherprop	Objects					n04009552	projector.n.02	objects	39.0	0	otherprop	0
214	110	clothes dryers	clothes dryer	12	39	6		otherfurniture	Furniture					n03251766	dryer.n.01	appliances	37.0	0	otherprop	0
215	1191	mattress	mattress	12	4	1	bed	bed	Bed	bed	bed	bed	2818832.0	n02818832	bed.n.01	bed	11.0	4	bed	4
216	356	dustpan	dustpan	12	40	7		otherprop	Objects					n03259009	dustpan.n.02	objects	39.0	0	otherprop	0
217	25	drawer	drawer	11	39	6	drawer	otherfurniture	Furniture					n03233905	drawer.n.01	furniture	36.0	0	otherprop	0
